Feld_Nr;Feld_Name;FT1;FT1h;FT2;FT3;FT3s;FT3LV;FT3L4L;FT3Stern;FT4;FT4Stern;FT6;FT7S;FT7a;FT7Stern;FT8S;FT8a;FT8d;FT8Stern;FT9a;FT9w;FT10a;FT10w;FT11;FT12Stern;FT12S;FT12a;FT12e;FT12Sternh;FT12w;FT13a;FT13e;FT13eh;FT13h;FT13Stern;FT14;FT14Stern;FT15;FT16;FT16Stern;FT17;FT18;FT18M;FT18w;FT18v;FT18Stern;FT19;FT19L;FT19P;FT19a;FT19f;FT20;FT20E;FT21;FT21L;FT21Stern;FT22;FT22A;FT22C;FT22Stern;FT23;FT23H;FT23Stern;FT24Stern;FT25;FT25O;FT25_A;FT25a;FT25b;FT25e;FT25f;FT25Q;FT25au;FT25Stern;FT26;FT26h;FT26w;FT27;FT27O;FT27h;FT27Stern;FT28;FT29;FT29A;FT29C;FT29h;FT30;FT31;FT32C;FT32S;FT32V;FT32Stern;FT33V;FT33a;FT33b;FT33m;FT34a;FT34b;FT34Stern;FT35;FT35M;FT35Q;FT35S;FT35A;FT36;FT37;FT38;FT38S;FT38Stern;FT39;FT39Stern;FT40P;FT40PBl;FT40Stern;FT41;FT41Stern;FT42C;FT42Q;FT42V;FT42r;FT42B;FT42t;FT43;FT43S;FT43Stern;FT44;FT45;FT46;FT46M;FT46t;FT46Stern;FT47;FT47D;FT47M;FT47H;FT47Stern;FT48;FT49;FT49Stern;FT50;FT50P;FT50Stern;FT51;FT51C;FT52;FT52T;FT53;FT53Stern;FT53A;FT54;FT54A;FT55;FT55Stern;FT56;FT57Bl;FT57C;FT57M;FT57S;FT57V;FT57VM;FT58;FT58Bl;FT58C;FT58L;FT59;FT59A;FT59C;FT59E;FT59H;FT59J;FT59L;FT59R;FT59S;FT59V;FT59Stern;FT60;FT60A;FT60E;FT60Stern;FT61;FT62;FT65;FT65Stern;FT66;FT66PM;FT67;FT68;FT68Stern;FT69;FT70;FT71;FT72;FT91;FT92a;FT92z;FT93;FTAV
34;E_se-sse;1;1;1;2;1;2;2;0;0;0;2;1;1;2;2;2;2;2;1;1;1;1;2;2;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;0;0;2;1;1;2;1;0;2;2;2;0;1;2;1;2;1;1;2;2;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;0;2;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;0;2;1;1;2;2;2;1;2;1;1;2;1;1;1;0;2;2;1;2;2;0;1;2;2;2;1;2;2;2;2;0;2;2;1;1;2;2;2;0;2;2;1;1;1;1;1;2;1;1;1;1;2;2;1;1;1;1;1;1;1;2
35;E_ss_s;1;1;1;2;1;2;2;0;0;0;2;1;1;2;2;2;2;2;1;1;1;1;2;0;2;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;0;0;2;1;1;0;1;0;2;2;2;0;1;2;1;2;1;1;2;2;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;2;2;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;2;0;1;1;0;2;1;2;0;0;2;1;0;1;1;1;1;1;1;0;0;1;1;2;2;0;2;2;0;1;1;1;1;0;0;1;1;0;1;1;1;0;0;0;2;2;1;2;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;1;1;2
37;E_ssw-sw;1;1;1;2;1;2;2;0;0;0;2;1;1;2;2;2;2;2;1;1;1;1;2;2;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;0;2;2;1;1;0;1;2;2;2;2;0;1;2;1;2;1;1;2;2;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;2;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;2;0;1;1;0;2;1;2;0;0;2;1;0;1;1;1;1;1;1;0;0;1;1;2;2;0;2;2;0;1;1;1;1;0;0;1;1;0;1;1;2;2;0;0;2;2;1;2;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;1;1;2
38;E_sw-wsw;1;1;1;2;2;2;2;0;2;0;1;1;1;2;1;2;1;2;1;1;1;1;1;2;1;1;1;2;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;2;2;1;1;1;0;1;2;2;2;2;0;1;2;2;2;1;1;2;2;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;1;1;1;1;2;1;1;2;2;1;2;2;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;2;1;2;0;0;2;1;0;1;1;1;1;1;1;0;0;1;1;2;2;0;2;2;0;1;1;1;1;0;0;1;1;0;1;1;2;2;0;2;2;2;1;2;1;1;1;1;1;1;1;1;1;2;1;1;2;2;2;2;1;2
42;E_nw-nnww;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;1;1;1;2;1;2;1;0;0;1;1;2;1;2;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;2;2;2;1;2;1;0;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;2;1;1;1;1;1;1;1;0;0;2;0;0;0;1;1;0;0;0;2;2;1;0;0;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;1;0;1;1;1;2;1;1;2;2;2;0;0;1;1;0;0;2;2;0;0;1;1;1;1;1;1;1;1;1;2;0;1;1;0;2;1;1;1;1;1;2;2;2;1;1
41;E_wnw-nw;1;1;1;2;2;2;2;2;1;2;1;1;1;1;1;2;1;1;1;1;2;2;1;1;1;1;2;1;2;1;2;2;1;1;2;1;2;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1;1;2;2;1;0;2;2;2;1;2;1;2;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;1;1;1;1;1;1;0;0;1;0;0;0;1;1;0;0;0;2;2;1;0;0;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;1;0;1;1;1;2;1;1;2;2;2;0;0;1;2;0;0;2;2;0;0;1;1;1;1;1;1;1;1;1;2;0;1;1;0;2;1;1;1;1;1;2;2;2;1;1
39;E_wsw_w;1;1;1;2;2;2;2;0;2;0;1;1;1;2;1;2;1;2;1;1;1;1;1;2;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;1;1;1;2;1;1;2;2;2;0;1;2;2;2;1;2;2;2;1;2;1;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;1;1;1;1;2;1;1;2;2;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;2;1;1;2;2;1;2;2;2;2;1;2;1;1;2;1;1;1;0;2;2;1;2;2;0;1;2;2;1;1;2;2;2;0;2;2;0;1;2;2;2;2;2;2;2;1;1;1;1;1;2;1;1;2;1;1;2;1;1;2;2;2;2;1;2
40;E_w-wnw;1;1;1;2;2;2;2;0;1;0;1;1;1;1;1;2;1;1;1;1;2;2;1;2;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1;2;1;2;2;2;0;2;1;2;2;2;1;2;1;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1;1;1;1;2;1;1;0;0;1;0;0;0;1;1;2;0;0;2;2;1;2;2;2;1;1;1;1;1;1;1;1;1;2;2;1;1;1;2;1;2;2;2;2;1;2;1;1;2;1;1;1;0;2;2;1;2;1;2;1;2;2;1;1;2;2;2;2;2;2;0;1;2;0;2;2;1;2;2;1;1;1;1;2;2;1;1;2;2;1;2;1;1;2;2;2;2;1;2
27;HN_100;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;2;2;2;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;2;2;0;0;0;2;0;2;0;0;2;0;0;0;2;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0
26;HN_75-100;0;0;0;2;2;0;0;1;2;1;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;2;0;1;1;1;1;1;2;2;1;2;2;1;1;2;1;1;1;2;0;2;2;0;0;2;0;2;1;2;0;1;2;2;2;2;1;2;2;2;2;0;2;1;1;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;1;2;1;1;1;1;2;0;1;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;1;2;2;0;2;2;0;0;2;1;2;2;2;2;0;1;2;0;2;2;2;2;0;2;1;2;0;0;2;2;2;2;2;1;1;1;2;2;2;1;2;1;0;2;2;2;0;2;1;0;2;1;0;0;2;1;0;2;0;0;2;2;2;2;0;2
25;HN_50-75;2;2;2;1;1;2;2;2;2;2;2;2;2;0;2;2;2;0;1;1;1;1;2;2;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;2;2;2;2;0;1;21;1;1;1;2;2;1;1;2;1;1;1;1;1;2;2;1;2;2;1;2;1;2;1;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;2;0;1;0;0;0;0;0;1;1;1;1;1;1;1;1;0;1;2;2;2;1;0;1;1;2;0;0;0;0;0;0;2;0;0;1;1;1;2;1;1;0;2;1;2;1;1;1;1;1;2;1;2;2;2;1;1;0;1;2;1;0;2;1;1;1;1;1;1;1;2;1;1;1;1;1;2;2;1;1;1;0;1;1;1;1;1;0;0;1;1;2;1;0;0;1;1;1;1;2;1
24;HN_25-50;2;2;2;1;1;1;1;0;1;0;1;2;1;1;2;1;1;1;2;2;1;1;1;1;1;1;1;1;2;2;2;2;2;2;1;2;1;1;2;2;1;2;2;2;2;1;1;1;1;2;1;1;2;2;1;1;0;2;2;0;1;2;2;2;1;1;1;1;0;0;1;1;2;1;2;1;1;2;1;1;0;0;0;0;0;0;0;0;0;0;1;2;1;2;2;1;2;2;0;0;0;0;0;1;2;2;1;2;2;1;1;2;1;1;1;1;1;2;2;2;1;0;0;0;0;0;2;1;0;2;2;1;2;1;1;1;2;2;2;2;2;1;2;2;2;2;1;2;1;1;2;1;0;1;0;1;2;1;1;1;1;2;2;1;2;2;1;1;2;2;2;0;1;2;2;1;2;2;1;1;2;2;0;0;2;2;2;1;0;0;1;1;1;1;2;2
23;HN_10-25;1;1;1;2;2;2;2;0;2;0;1;1;1;1;1;1;1;1;2;2;2;2;1;0;1;2;2;2;2;0;0;0;0;0;2;0;2;2;0;0;2;2;0;0;0;1;2;2;2;1;2;1;0;0;2;1;0;0;0;0;2;0;2;2;2;1;2;2;0;0;2;2;2;1;1;1;1;1;2;2;0;2;0;0;0;0;0;0;0;0;1;0;0;1;1;2;1;0;0;0;0;2;0;2;0;2;0;0;0;0;2;1;0;2;1;2;2;1;0;0;2;0;0;0;0;0;1;1;2;2;0;2;0;2;2;1;2;1;2;0;0;2;2;2;0;0;2;1;1;1;0;2;0;2;0;0;1;1;2;2;2;0;0;2;0;0;1;1;0;0;0;0;2;0;0;2;1;0;0;0;2;2;0;0;2;2;1;2;0;0;2;2;2;2;2;0
22;HN_0-10;2;2;2;2;2;2;2;0;2;0;2;2;2;2;2;2;2;2;2;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;0;0;0;2;0;0;0;0;2;0;0;0;2;2;2;2;0;0;2;2;0;1;0;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1;2;0;0;1;1;2;1;0;1;1;1;1;1;2;0;0;0;0;0;0;2;2;0;2;1;2;2;1;0;0;2;1;1;1;1;1;1;2;1;1;0;0;0;0;2;2;1;1;0;0;0;2;2;0;0;0;2;1;2;2;0;0;1;0;0;0;2;2;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;1;1;2;0;1;2;0;1;0;2;2;2;1;0
539;HL_S_2150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;1
301;HL_N_250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;2;0
401;HL_EW_250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;2;0
501;HL_S_250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;2;0
304;HL_N_400;1;0;1;0;0;1;1;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;2;2;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;1;2;0;0;0;0;1;2;0;0;2;0;0;0;0;1;1;0;0;1;1;0;0;1;1;1;1;0;1;1;1;0;0;0;0;2;1;1;1;1;0;2;2;1;1;2;1;2;0;0;0;0;0;0;0;0;0;0;2;1;2;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;2;0;0;0;0;0;0;0;0;1;1;1;1;0
404;HL_EW_400;1;0;1;0;0;2;2;0;0;0;1;1;1;1;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;1;2;0;0;2;1;0;0;0;1;1;0;0;1;1;0;0;1;1;1;1;0;1;1;1;0;0;0;0;2;1;1;1;1;0;2;2;1;1;2;1;2;1;0;1;1;1;0;0;1;1;1;2;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;1;1;1;1;0
504;HL_S_400;2;0;2;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;2;0;0;2;1;0;0;0;1;1;0;0;1;1;0;0;1;1;1;1;0;1;1;1;0;0;0;0;0;1;1;1;1;0;2;2;1;1;2;2;2;1;0;1;0;1;0;0;1;1;1;2;1;0;2;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;1;1;1;1;0
310;HL_N_700;1;0;1;2;2;2;2;0;0;0;2;2;2;2;1;1;1;1;2;2;2;2;2;0;1;1;1;0;1;1;1;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;2;1;1;0;2;0;2;1;1;1;1;1;0;1;1;1;1;1;0;0;1;2;0;0;1;1;1;2;0;1;0;1;0;0;0;0;2;2;2;1;1;1;0;0;2;0;0;1;1;0;1;0;0;0;0;0;0;0;0;2;2;1;0;0;2;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;2;0;0;0;0;1;2;2;0;0
410;HL_EW_700;1;0;1;2;2;1;1;0;0;0;2;2;2;2;1;1;1;1;2;2;2;2;2;0;1;1;1;0;1;1;1;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;2;1;1;0;2;0;0;1;1;1;1;1;2;1;1;1;1;1;0;0;1;2;0;0;1;1;1;2;0;1;0;1;0;0;0;0;2;2;2;1;1;1;0;0;2;0;0;1;1;2;1;2;1;1;0;0;1;2;1;2;2;1;1;0;1;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;2;0;0;0;0;1;2;2;0;0
510;HL_S_700;1;0;1;0;0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;0;0;2;1;0;1;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;2;1;1;0;0;0;0;1;1;2;1;1;1;1;2;1;1;1;0;0;1;2;0;0;1;1;1;2;0;1;0;1;0;0;0;0;2;2;2;1;1;1;0;0;2;0;0;1;1;1;1;2;1;1;0;0;1;1;1;1;1;1;1;0;1;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;1;2;2;0;0
312;HL_N_800;1;0;1;2;2;2;2;2;2;2;0;0;0;0;1;1;1;1;0;0;0;0;0;2;1;1;1;0;1;1;1;0;0;1;1;2;1;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;1;2;0;2;0;1;1;2;1;2;2;0;1;1;2;1;1;0;0;1;2;0;0;1;1;1;0;2;1;0;1;0;0;0;0;0;2;2;2;2;1;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;2;2;2;0;0;2;1;1;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;2;1;0;0;0;0;2;0;0;0;0
412;HL_EW_800;1;0;1;2;2;2;2;2;2;2;0;0;0;0;1;1;1;1;2;2;2;2;2;2;1;1;1;0;1;1;1;0;0;1;1;2;1;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;1;2;0;2;0;2;1;2;1;2;2;2;1;1;2;1;1;0;0;1;2;0;0;1;1;1;0;2;1;0;1;0;0;0;0;0;2;2;2;2;1;0;0;0;0;0;1;2;0;1;2;2;1;0;0;1;0;1;2;2;2;1;0;2;1;1;0;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;2;1;0;0;0;0;2;2;0;0;0
512;HL_S_800;1;0;1;2;2;2;2;2;0;2;2;2;2;0;1;1;1;1;2;2;2;2;2;0;1;1;1;0;1;1;1;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;2;1;2;0;2;0;0;1;2;1;2;2;2;1;1;2;1;1;0;0;1;2;0;0;1;1;1;0;2;1;0;1;0;0;0;0;0;2;2;2;2;1;0;0;0;0;0;1;1;2;1;2;1;1;0;0;1;2;1;2;2;2;1;0;2;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;2;0;0;0;0;1;2;0;0;0
314;HL_N_900;2;1;2;1;1;2;2;1;2;1;0;0;0;0;2;2;2;2;0;0;0;0;0;2;1;1;1;0;1;1;1;2;2;1;1;2;1;1;2;1;1;1;1;0;2;1;2;2;2;1;1;1;0;0;0;1;1;1;2;0;1;0;1;1;2;1;2;2;0;2;1;2;1;2;1;1;2;2;1;0;1;2;1;0;1;1;0;1;0;0;2;2;0;2;2;2;0;1;0;0;0;0;0;2;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;1;2;2;0;0;2;0;0;0;0;0;1;2;0;0;0;1;2;1;2;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;1;0;0;2;0;2;0;0;0;0
414;HL_EW_900;2;2;2;1;1;2;2;1;2;1;0;0;0;0;2;2;2;2;0;0;0;0;0;2;1;1;1;0;1;1;1;0;0;1;1;2;1;1;2;1;2;2;2;0;0;2;2;2;2;2;2;2;0;0;0;1;1;1;2;0;1;0;1;1;2;1;2;2;0;2;1;2;1;1;2;2;2;2;2;0;1;2;1;0;1;1;0;1;0;0;2;0;0;2;2;2;0;1;0;0;0;0;0;2;0;0;1;0;0;2;0;0;1;0;2;0;0;0;1;0;0;2;2;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;1;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;1;0;0;1;1;0;0;2;0;2;0;0;0;0
514;HL_S_900;1;0;1;2;2;2;2;1;2;1;0;0;0;0;1;1;1;1;0;0;0;0;0;2;1;1;1;0;1;1;1;0;0;1;1;2;1;1;2;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;1;1;2;0;2;0;2;1;2;1;2;2;0;2;1;2;1;1;0;0;1;2;0;0;1;2;1;0;1;1;0;1;0;0;2;0;0;2;2;2;2;1;0;0;0;0;0;2;0;0;1;0;2;1;0;0;1;0;1;2;2;0;1;0;2;2;2;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;2;1;0;0;2;0;2;2;0;0;0
316;HL_N_1000;0;1;0;1;1;2;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;0;2;2;2;1;1;2;2;1;2;2;1;2;1;1;1;1;1;1;2;2;1;1;1;1;0;2;0;1;1;2;0;0;1;2;1;2;0;2;0;0;0;2;2;0;2;0;1;1;0;0;1;0;0;0;2;0;1;2;0;2;0;2;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;1;0;0;1;1;1;1;1;2;1;1;0;0;0;1;1;2;1;2;2;1;0;1;1;0;2;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0
416;HL_EW_1000;0;1;0;1;1;2;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;0;2;2;2;1;1;2;2;1;2;2;1;2;1;1;1;2;1;1;2;2;1;1;1;1;0;2;0;1;1;2;0;2;1;2;1;2;0;1;0;0;0;2;1;0;2;0;1;1;0;0;1;0;0;0;2;0;1;2;0;2;0;2;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;2;0;2;0;1;0;0;2;2;2;2;2;0;1;1;0;0;0;1;1;1;1;2;2;1;0;2;2;0;2;1;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;1;0;0;1;0;0;0;0;0;0
